,username,tweet
147,aoc,deeply cynical amp disgusting attack capitol complex stormed people killed none u knew moment area compromised previously told reporter barricaded office afraid hurt
148,aoc,deeply cynical amp disgusting attack capitol complex stormed amp people killed none u knew moment area compromised previously told reporter barricaded office afraid hurt
149,aoc,sen comfortable going tv disparage house member excuse add support racist antisemitic conspiracy theory coming gop house colleague denounce
150,aoc,sad thing disinformation truth come damage already done people already misled radicalized amp believe lie point hatred brewed violence led th happening right
151,aoc,honestly message republican trying send appointing education labor committee woman belief sandy hook shooting fake mock parkland survivor individual get final say cmtes gop leadership picked assignment
152,aoc,say survivor watching loved one watching may share story tomorrow month year may never speaking vitriol towards survivor hurt amp loved one bc dismissers rob meaningful relationship
153,aoc,honest every step way affirmer offering safety pressing pause button acknowledge trauma courage amp many others tell story publicly helped share mine
154,aoc,really wrestled w telling story amp decided week ago probably worth dinner sen told everything knew survivor helped see importance sharing story capitol trauma
155,aoc,may know know survivor highly likely survivor trauma close people love amp may know many decide whether story safe someone respond survivor push away
156,aoc,today birthday one greatest ever brilliant leader fearless champion masterful legislator uplifter organizer everything please join wishing happy birthday
157,aoc,fact check arrow accurate lie mob stormed amp place away also fail convey multiple area people trying storm also failed show tunnel poor job around
158,aoc,also damning revealing gop digging heel discrediting campaign know implicated pivoting classic abuse playbook bad say bad actually worse
159,aoc,people trying rush infiltrate office building get evacuated first place attempt attacker amp publicly available communication show tried gain access share location info finding member physical harm
160,aoc,latest manipulative take right manipulating fact people know layout capitol complex capitol complex attack dome bomb trump supporter planted surrounded office
161,aoc,survivor trauma worry believed situation bad enough bad fear branded deemed manipulative telling truth see community safe amp u loved
162,aoc,good morning everyone teaching term digital social medium session member congress today help help wish saw digitally elected official great job think others learn lmk
163,aoc,thank rabbi
164,aoc,republican demanding accountability divisive must move attack country without recourse taking page playbook abuser sadly unsurprising year fealty trump seems many gop turned
165,aoc,senator ted cruz deliberately knowingly amplified specific lie fueling violent attacker contributed carnage jan th action since show given similar political opportunity would choose must resign texan agree
166,aoc,
167,aoc,thank holding day wonderful friend
168,aoc,thanks making space hope make space others tell story week come wish paper misdeed rushing u move move individual responsible held account
169,aoc,story story central story happened jan th one story many whose life endangered capitol lie threat violence fanned cowardice people chose personal gain democracy
170,aoc,probably around
171,aoc,imagine thinking healthcare human right v white supremacist conspiracy theory two view extreme
172,aoc,congratulation sen public school teacher new york state senate proud journey dedication bringing many along spirit building new york many let go
173,aoc,got back
174,aoc,moving office huge disruptive effort honestly even rep bush move endure greene one posing threat others around
175,aoc,responsibility ensure member harm others losing control caucus amp allowing threat go unchecked looking way member like feel unsafe must move office week st term
176,aoc,fact republican party take decisive action white supremacist amp knowingly endorsed candidate believe muslim american serve congress amp posted threatening image holding firearm next dem member congress extremely alarming
177,aoc,reminder
178,aoc,yup
179,aoc,back
180,aoc,sorry trying fix audio back
181,aoc,live
182,aoc,also joining
183,aoc,awesome see set time
184,aoc,twitch update joining along thestockguy offer update insight might come
185,aoc,need healing unity take responsibility action acknowledge contribution lie made violence harm caused believe anyone held accountable mad divisive gop
186,aoc,oh anger would anger cruz amplified known lie election fueled insurrection cost ppl life think logical response lie hug maybe anger bc action deserve accountability
187,aoc,hopping twitch pm tonight discus today development gamestop retail trading might guest two join see see
188,aoc,even apologized serious physical mental harm contributed capitol police amp custodial worker fellow member congress meantime get timeline amp stop clout chasing thanks happy work gop
189,aoc,conveniently talk moving second capitol police officer lost life yesterday still raging aftermath attack role joke need accountability includes new senator texas
190,aoc,happy work republican issue common ground almost murdered week ago sit one happy work w almost gop trying get killed meantime want help resign
191,aoc,inquiry freeze limited solely robinhood serious matter committee investigator examine retail service freezing stock purchase course potential investigation especially allowing sale freezing purchase
